province,extremely_poor,moderately_poor,female_poor,male_poor,male_extreme_poor,female_extreme_poor,male_mod_poor,female_mod_poor,social_security,no_social_security,disability,disability_ext_poor,disability_mod_poor,cat_illness,population
AZUAY,5774,47845,29107,24512,2733,3041,21779,26066,6178,47441,9648,905,8743,3364,712127
BOLIVAR,6542,28359,18350,16551,3214,3328,13337,15022,3326,31575,5994,1028,4966,2461,183641
CAÑAR,2922,23527,14294,12155,1420,1502,10735,12792,2246,24203,4312,365,3947,1425,225184
CARCHI,3963,22843,13754,13052,2026,1937,11026,11817,2394,24412,3781,543,3238,1384,164524
CHIMBORAZO,12353,48236,32591,27998,6015,6338,21983,26253,6946,53643,10377,2045,8332,3535,458581
COTOPAXI,11189,52374,33867,29696,5427,5762,24269,28105,6508,57055,10716,1981,8735,5244,409205
EL ORO,2804,35250,19063,18991,1387,1417,17604,17646,3695,34359,6373,375,5998,2569,600659
ESMERALDAS,22363,78456,51747,49072,11254,11109,37818,40638,8739,92080,11691,2347,9344,4176,534092
GALAPAGOS,8,162,85,85,6,2,79,83,9,161,12,1528,12,4,25124
GUAYAS,11934,126918,66560,72292,6218,5716,66074,60844,17067,121785,22126,1364,20598,10044,3645483
IMBABURA,9367,44528,27225,26670,4867,4500,21803,22725,5638,48257,7763,1373,6399,2391,398244
LOJA,9536,50075,30226,29385,4930,4606,24455,25620,9638,49973,9680,989,8307,4286,448966
LOS RIOS,8738,75434,40528,43644,4516,4222,39128,36306,11232,72940,12358,2299,11369,8209,778115
MANABI,17600,130400,70794,77206,9519,8081,67687,62713,28646,119354,21504,1168,19205,8982,1369780
MORONA SANTIAGO,10393,10480,11513,9360,4837,5556,4523,5957,1116,19757,2514,748,1346,534,147940
NAPO,5873,8458,7354,6977,3004,2869,3973,4485,1650,12681,1921,676,1173,716,103697
ORELLANA,5668,9831,7932,7567,2918,2750,4649,5182,1249,14250,2030,362,1354,297,136396
PASTAZA,3605,5199,4755,4049,1747,1858,2302,2897,341,8463,975,1193,613,116,83933
PICHINCHA,7492,67932,39524,35900,3744,3748,32156,35776,9515,65909,12729,345,11536,4309,2576287
SANTA ELENA,2235,20797,10841,12191,1179,1056,11012,9785,2674,20358,4092,352,3747,2318,308693
SANTO DOMINGO DE LOS TSACHILAS,2631,20459,11461,11629,1345,1286,10284,10175,2901,20189,3826,628,3474,1561,368013
SUCUMBIOS,4741,11491,8294,7938,2484,2257,5454,6037,1396,14836,2497,843,1869,708,176472
TUNGURAHUA,5174,40993,24662,21505,2520,2654,18985,22008,2761,43406,7980,392,7137,3105,504583
ZAMORA CHINCHIPE,3464,8789,6430,5823,1729,1735,4094,4695,1274,10979,1598,68,1206,147,91376
ZONA NO DELIMITADA,661,4686,2608,2739,339,322,2400,2286,841,4506,680,0,612,306,
