province,extremely_poor,moderately_poor,female_poor,male_poor,male_extreme_poor,female_extreme_poor,male_mod_poor,female_mod_poor,social_security,no_social_security,disability,disability_ext_poor,disability_mod_poor,cat_illness,population,poor_total,extreme_poor_norm,mod_poor_norm,poor_total_norm,female_poor_norm,male_poor_norm,no_ss_norm,disability_norm,illness_norm,pov_by_pop,ind_poor,ind_ext_poor,urban,rural,ind_epoor_per,ind_poor_per,urban_per,rural_per
AZUAY,5774,47845,29107,24512,2733,3041,21779,26066,6178,47441,9648,905,8743,3364,712127.0,53619,5.77,47.84,5.36,29.11,24.51,47.44,9.65,3.36,7.53,2903,423,99604.0,84313.0,0.42,2.9,9.96,8.43
BOLIVAR,6542,28359,18350,16551,3214,3328,13337,15022,3326,31575,5994,1028,4966,2461,183641.0,34901,6.54,28.36,3.49,18.35,16.55,31.58,5.99,2.46,19.01,10604,2857,14141.0,32969.0,2.86,10.6,1.41,3.3
CAÑAR,2922,23527,14294,12155,1420,1502,10735,12792,2246,24203,4312,365,3947,1425,225184.0,26449,2.92,23.53,2.64,14.29,12.16,24.2,4.31,1.42,11.75,6886,1057,23205.0,34172.0,1.06,6.89,2.32,3.42
CARCHI,3963,22843,13754,13052,2026,1937,11026,11817,2394,24412,3781,543,3238,1384,164524.0,26806,3.96,22.84,2.68,13.75,13.05,24.41,3.78,1.38,16.29,1454,653,21916.0,20984.0,0.65,1.45,2.19,2.1
CHIMBORAZO,12353,48236,32591,27998,6015,6338,21983,26253,6946,53643,10377,2045,8332,3535,458581.0,60589,12.35,48.24,6.06,32.59,28.0,53.64,10.38,3.54,13.21,32389,8190,49154.0,73891.0,8.19,32.39,4.92,7.39
COTOPAXI,11189,52374,33867,29696,5427,5762,24269,28105,6508,57055,10716,1981,8735,5244,409205.0,63563,11.19,52.37,6.36,33.87,29.7,57.06,10.72,5.24,15.53,20821,5553,32234.0,69566.0,5.55,20.82,3.22,6.96
EL ORO,2804,35250,19063,18991,1387,1417,17604,17646,3695,34359,6373,375,5998,2569,600659.0,38054,2.8,35.25,3.81,19.06,18.99,34.36,6.37,2.57,6.34,592,72,122671.0,36345.0,0.07,0.59,12.27,3.63
ESMERALDAS,22363,78456,51747,49072,11254,11109,37818,40638,8739,92080,11691,2347,9344,4176,534092.0,100819,22.36,78.46,10.08,51.75,49.07,92.08,11.69,4.18,18.88,4699,2344,65805.0,63105.0,2.34,4.7,6.58,6.31
GALAPAGOS,8,162,85,85,6,2,79,83,9,161,12,1528,12,4,25124.0,170,0.01,0.16,0.02,0.08,0.08,0.16,0.01,0.0,0.68,49,7,6058.0,1103.0,0.01,0.05,0.61,0.11
GUAYAS,11934,126918,66560,72292,6218,5716,66074,60844,17067,121785,22126,1364,20598,10044,3645483.0,138852,11.93,126.92,13.89,66.56,72.29,121.78,22.13,10.04,3.81,2740,228,792319.0,148393.0,0.23,2.74,79.23,14.84
IMBABURA,9367,44528,27225,26670,4867,4500,21803,22725,5638,48257,7763,1373,6399,2391,398244.0,53895,9.37,44.53,5.39,27.22,26.67,48.26,7.76,2.39,13.53,21462,4885,55255.0,45831.0,4.88,21.46,5.53,4.58
LOJA,9536,50075,30226,29385,4930,4606,24455,25620,9638,49973,9680,989,8307,4286,448966.0,59611,9.54,50.08,5.96,30.23,29.38,49.97,9.68,4.29,13.28,4463,963,62725.0,50983.0,0.96,4.46,6.27,5.1
LOS RIOS,8738,75434,40528,43644,4516,4222,39128,36306,11232,72940,12358,2299,11369,8209,778115.0,84172,8.74,75.43,8.42,40.53,43.64,72.94,12.36,8.21,10.82,1890,314,106299.0,93637.0,0.31,1.89,10.63,9.36
MANABI,17600,130400,70794,77206,9519,8081,67687,62713,28646,119354,21504,1168,19205,8982,1369780.0,148000,17.6,130.4,14.8,70.79,77.21,119.35,21.5,8.98,10.8,386,40,191567.0,146403.0,0.04,0.39,19.16,14.64
MORONA SANTIAGO,10393,10480,11513,9360,4837,5556,4523,5957,1116,19757,2514,748,1346,534,147940.0,20873,10.39,10.48,2.09,11.51,9.36,19.76,2.51,0.53,14.11,13772,8230,12509.0,20282.0,8.23,13.77,1.25,2.03
