province,urban,rural
AZUAY,99604,84313
BOLIVAR,14141,32969
CAÑAR,23205,34172
CARCHI,21916,20984
CHIMBORAZO,49154,73891
COTOPAXI,32234,69566
EL ORO,122671,36345
ESMERALDAS,65805,63105
GALAPAGOS,6058,1103
GUAYAS,792319,148393
IMBABURA,55255,45831
LOJA,62725,50983
LOS RIOS,106299,93637
MANABI,191567,146403
MORONA SANTIAGO,12509,20282
NAPO,9157,13181
ORELLANA,14935,16442
PASTAZA,9618,9844
PICHINCHA,505362,215568
SANTA ELENA,,
SANTO DOMINGO DE LOS TSACHILAS,69863,24160
SUCUMBIOS,20116,22666
TUNGURAHUA,56624,80810
ZAMORA CHINCHIPE,8765,12220
ZONA NO DELIMITADA,,
